close_price,date,high_price,low_price,open_price,price_history_id,ticker_symbol,volume
159.1800,2025-07-17,159.4100,158.6300,158.8800,168,MMM,1374137
153.2500,2025-07-18,154.1800,151.9300,152.1700,169,MMM,2241541
152.8100,2025-07-21,152.9100,151.7350,152.3400,170,MMM,726699
151.0900,2025-07-22,151.8300,151.0900,151.6500,171,MMM,675245
150.8700,2025-07-23,151.4500,150.6900,151.2700,172,MMM,759981
149.3400,2025-07-24,149.6500,149.1600,149.2200,173,MMM,787112
151.2600,2025-07-25,151.4000,151.0100,151.1500,174,MMM,363213
152.0900,2025-07-28,152.2200,151.7450,152.0300,175,MMM,571695
151.8000,2025-07-29,151.8400,151.1501,151.5300,176,MMM,641174
146.6600,2025-07-30,147.3000,146.5000,147.0900,177,MMM,724683
149.2200,2025-07-31,149.4600,148.8800,149.3300,178,MMM,823669
144.3800,2025-08-01,145.0700,144.2500,144.9150,179,MMM,830350
147.9000,2025-08-04,148.1800,147.5800,147.7200,180,MMM,540721
150.1900,2025-08-05,150.6100,149.9900,150.2850,181,MMM,570587
150.8300,2025-08-06,151.3850,150.8100,151.1700,182,MMM,454055
151.7600,2025-08-07,151.7800,151.2700,151.2900,183,MMM,326977
153.3450,2025-08-08,153.6700,153.0200,153.6300,184,MMM,435766
155.3250,2025-08-11,155.6100,155.0050,155.2200,185,MMM,633131
157.8400,2025-08-12,158.4600,157.3300,157.5700,186,MMM,728648
160.2000,2025-08-13,160.4700,159.4376,159.8900,187,MMM,560788
156.6800,2025-08-14,157.5700,156.6300,157.5600,188,MMM,454537
152.4100,2025-08-15,152.7700,152.1501,152.7000,189,MMM,714241
152.8100,2025-08-18,152.9400,152.7000,152.8500,190,MMM,318580
154.3200,2025-08-19,154.3900,153.7800,154.0500,191,MMM,384257
154.7300,2025-08-20,155.1950,154.5900,154.9300,192,MMM,594124
154.4100,2025-08-21,154.6700,154.2400,154.6250,193,MMM,286388
158.6900,2025-08-22,158.8300,158.4300,158.4500,194,MMM,354694
155.8600,2025-08-25,156.3000,155.8000,156.3000,195,MMM,275950
156.5400,2025-08-26,156.7200,155.9100,155.9700,196,MMM,491782
156.5800,2025-08-27,157.1150,156.5800,156.7400,197,MMM,517821
157.5600,2025-08-28,157.7050,157.0900,157.2500,198,MMM,392706
155.5500,2025-08-29,155.8500,155.3150,155.7600,199,MMM,573519
154.2300,2025-09-02,154.4150,153.9500,154.1600,200,MMM,561378
151.9800,2025-09-03,152.3400,151.7050,151.7200,201,MMM,605583
155.5000,2025-09-04,155.6000,154.8800,154.9200,202,MMM,444295
155.3700,2025-09-05,155.6100,154.7700,155.4850,203,MMM,536087
153.9750,2025-09-08,154.0400,153.3400,153.5250,204,MMM,505843
153.0600,2025-09-09,153.2500,152.8101,153.0500,205,MMM,301180
153.5600,2025-09-10,153.6300,152.5000,152.6050,206,MMM,444961
159.4600,2025-09-11,159.5000,158.3900,158.3900,207,MMM,800007
157.8800,2025-09-12,158.4200,157.8100,158.3000,208,MMM,384402
156.6600,2025-09-15,156.7000,156.1050,156.2000,209,MMM,438054
156.4900,2025-09-16,156.7200,155.4050,155.5550,210,MMM,395797
155.1600,2025-09-17,155.3500,154.4000,154.6900,211,MMM,428044
155.4000,2025-09-18,155.4400,154.9300,155.2400,212,MMM,281476
156.6300,2025-09-19,157.4100,156.3000,156.6800,213,MMM,779155
153.8500,2025-09-22,154.2650,153.8100,153.9600,214,MMM,466053
156.3350,2025-09-23,156.7500,156.0400,156.1150,215,MMM,376357
